"dataset";"dataset.name";"public?";"coauthor.1";"coauthor.2";"agreement.sent";"agreement.received";"remarks";"dataset.identified.from";"Included.final.analysis";"reason";"system";"taxa";"group";"old_classification";"disturbance";"description";"source";"start_year";"end_year";"original_year";"Measurement";"reference";"Remark_MG";"obs";"obs2"
"137";NA;"Predicts_mj1_2009_lehouck_5";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"multiple";"The study took place in the Taita Hills, located in southeastern Kenya at coordinates 03820?S, 38815?E and altitudes ranging from 1200 to 2230 meters. The area is part of the Northern Eastern Arc Mountains and experiences rainfall ranging from 500 to 1200 mm per year, with two rainy seasons intersected by a short dry period in February and a long one from June to September. The region has year-round mist and cloud precipitation resulting in almost constant humidity at hilltops and ridges. The original forest cover has been reduced by 70-98% over the past 200 years due to forest loss, fragmentation, and human activities such as firewood collection, cutting of undergrowth, and selective logging. The current landscape includes three large (90 ha, 133 ha, and 179 ha) indigenous forest fragments, nine small (2-8 ha), and several tiny (<2 ha) fragments surrounded by human settlements, small-holder cultivation plots, and exotic plantations.Despite the significant forest loss and habitat deterioration, the Taita Hills still support a diverse forest flora and fauna, including three endemic bird species and at least 13 endemic plant species. The study collected data on trees and frugivores between May and October 2004-2006 in six differently-sized forest fragments (two large and four small), which varied in the level of disturbance based on vegetation structure and encounter rates with hunters, grasscutters, and wood-collectors. The large fragments were Ngangao (NGA, 133 ha) and Chawia (CHA, 90 ha), while the small fragments were Fururu (FUR, 8 ha), Yale (YAL, 4 ha), Macha (MAC, 3 ha), and Mwachora (MWA, 3 ha). Fragment sizes comprised indigenous forest only and were based on aerial photographs. Fragments NGA, FUR, and YAL were assigned to a low disturbance class, while CHA, MAC, and MWA were assigned to a high disturbance class.Although the habitat quality of the fragments did not strictly co-vary with fragment size, lack of replicates of large-disturbed and large-undisturbed forests prevented testing two-factor interactions between forest size and disturbance, contrary to other fragmentation studies.";"Google earth images and ref.";2006;2006;NA;"abundance";"Lehouck, V., Spanhove, T., Colson, L., Adringa-Davis, A., Cordeiro, N. J., & Lens, L. (2009). Habitat disturbance reduces seed dispersal of a forest interior tree in a fragmented African cloud forest. Oikos, 118(7), 1023–1034. doi:10.1111/j.1600-0706.2009.17300.x ";"I would classify as \"forestry\"";NA;NA
"138";NA;"Predicts_mj1_2013_ndanganga_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"Within each of the two subdistricts, 5 km x 5 km study sites (three in Nyandarua south and two in Nyandarua north) were systematically selected from a map to represent varying human population densities (Figure 1a). Within each study site, 30-metre-radius sampling plots were identified along 1 km transects (Table 1). Transects were semi-randomly located through first identifying one or two access roads or paths in a study site that as much as possible covered a long distance across the site with any two roads/paths spaced at least 2 km from each other. Second, the first transect would be placed perpendicular to the path or road and at least 250 m from the boundary of the site. The first sampling plot on the transect would be placed 100 m away from the path/road and all plots spaced 250 m apart along a 1 km transect. The transects were 1 km apart and extended from one or both sides of the path/road (Figure 1b). The location of each sampling station was marked using a GPS. Bird counts and assessment of vegetation structure and composition were conducted during four sampling periods, two in the wet season (May to September 2010, May to August 2011) and two in the dry season (October 2010 to February 2011, January to February 2012).";"Google earth images and ref.";2010;2011;NA;"abundance";"Ndang’ang’a, P. K., Njoroge, J. B., & Githiru, M. (2013). Vegetation composition and structure influences bird species community assemblages in the highland agricultural landscape of Nyandarua, Kenya. Ostrich, 84(3), 171–179. doi:10.2989/00306525.2013.8609";NA;NA;NA
"139";NA;"Predicts_mj1_2013_ndanganga_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"Within each of the two subdistricts, 5 km x 5 km study sites (three in Nyandarua south and two in Nyandarua north) were systematically selected from a map to represent varying human population densities (Figure 1a). Within each study site, 30-metre-radius sampling plots were identified along 1 km transects (Table 1). Transects were semi-randomly located through first identifying one or two access roads or paths in a study site that as much as possible covered a long distance across the site with any two roads/paths spaced at least 2 km from each other. Second, the first transect would be placed perpendicular to the path or road and at least 250 m from the boundary of the site. The first sampling plot on the transect would be placed 100 m away from the path/road and all plots spaced 250 m apart along a 1 km transect. The transects were 1 km apart and extended from one or both sides of the path/road (Figure 1b). The location of each sampling station was marked using a GPS. Bird counts and assessment of vegetation structure and composition were conducted during four sampling periods, two in the wet season (May to September 2010, May to August 2011) and two in the dry season (October 2010 to February 2011, January to February 2012).";"Google earth images and ref.";2011;2012;NA;"abundance";"Ndang’ang’a, P. K., Njoroge, J. B., & Githiru, M. (2013). Vegetation composition and structure influences bird species community assemblages in the highland agricultural landscape of Nyandarua, Kenya. Ostrich, 84(3), 171–179. doi:10.2989/00306525.2013.8609";NA;NA;NA
"140";NA;"Predicts_mj1_2013_reynolds_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"agriculture";"The study area is located in the Mistbelt grasslands of KwaZulu-Natal (KZN), South Africa (29°28’S, 29°51’E; 1760–1870 m a.s.l.) and covers approximately 1500 ha. The area receives an annual rainfall of 800–1200 mm, annual temperatures range from –2°C to 38°C, and dense mist occurs frequently (Wakelin & Hill 2007; Birdlife International 2010). The vegetation is classified as KwaZulu-Natal Mistbelt grassland and is dominated by red grass (Themeda triandra) (Bredenkamp et al. 1996). The grassland is mostly untransformed (85%), has historically been utilized for low intensity cattle grazing (~0.06/ha) and is subject to rotational burning during dry winter months. Clearing of invasive bramble is on-going, in an effort to restore affected grassland areas to an improved vegetative state (K. Kruger, pers. comm.).";"Google earth images and ref.";2010;2011;NA;"abundance";"Reynolds, C., & Symes, C. T. (2013). Grassland Bird Response to Vegetation Structural Heterogeneity and Clearing of Invasive Bramble. African Zoology, 48(2), 228–239. doi:10.3377/004.048.0217 ";"I agree with the classification in \"agriculture\"";NA;NA
"141";NA;"Predicts_sc1_2005_marsh_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"We surveyed butterfly and bird communities at 45 sites across Anjouan, stratified by habitat and altitude. There were 15 sites in mature forest, 15 in disturbed forest, and 15 in non-forest. Disturbed forest included secondary forest, forest underplanted with crops or non-native tree species, and forest degraded by firewood and fodder collection and logging. Non-forest sites encompassed plantations, pasture, scrub, and non-natural forest. Due to difficult access to forest, sites were not placed randomly and were located along existing trails, usually on steep ridges.Between April 22nd and June 25th, 2008, surveys were carried out at each site. Each site was surveyed for a 12-minute butterfly transect and three 10-minute bird point counts. Surveys were repeated at each site on two days, resulting in a total of 1080 and 2700 minutes of butterfly and bird surveys, respectively. The same two observers, trained in identifying local birds and butterflies, conducted all surveys.";"Google earth images and ref.";2005;2005;NA;"abundance";"Marsh, C. J., Lewis, O. T., Said, I., & Ewers, R. M. (2010). Community-level diversity modelling of birds and butterflies on Anjouan, Comoro Islands. Biological Conservation, 143(6), 1364–1374. doi:10.1016/j.biocon.2010.03.0";"I agree with the classification in \"forestry\"";NA;NA
"142";NA;"Predicts_sc1_2010_marsh_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"I checked the google earth images and the sites fall all in forested areas. But there is a clear gradient of dense forest to non-dense forest.The authors describe the area asOn Grande Comore, habitat was classified into seven categories:(i) Mature forest;(ii) Underplanted forest, where banana trees have been planted beneath aprimary canopy;(iii) Regenerating forest Type A, which is dominated by the invasive shrubPsidium cattleianum;(iv) Regenerating forest Type B, which is dominated by the invasive shrubClidemia hirta;(v) Pioneer forest on old lava flows;(vi) Tree heath, dominated by the giant heather, Phillipia;(vii) Plantations, where a native canopy no longer remains.127 surveys were carried out from 17th to 28th July and 1st to 12th September at sevenlocations around Karthala and La Grille, limited by the difficulty of access to theforest. At least 15 points were carried out at each location over several days and everyhabitat was surveyed. Efforts were concentrated within the remaining forest, andhabitats found immediately above or below.On Anjouan, four habitat categories were identified:(i) Mature forest; (ii) Affected forest, which included both underplanted forest andregenerating forest, as P. cattleianum and C. hirta were rarelyencountered;(iii) Plantations;(iv) ‘Padza’ (over-exploited agricultural land, turned arid with little fertilityand few or no trees).109 surveys were carried out between 5th and 27th August from sea-level to 1600m inall habitats at eight locations around the island.Extensive pre-expedition training took place using Birds of the Indian Ocean Islands(Sinclair and LanGrand, 2003) and audio training from Guide sonores des Oiseauxnicheurs des Comores (Herremans, 2001). In addition, there was one week offamiliarisation before surveys were started.";"Google earth images";2008;2008;NA;"presence_absence";"This is not a study, but I found this report: https://www.africanbirdclub.org/sites/default/files/Comores_Conservation_2005_0.pdf";"I agree with the classification in \"forestry\"";NA;NA
"143";NA;"Predicts_sc1_2010_rey_benayas_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"We surveyed bird communities in a ca. 6000 km2 area in central Spain, with extreme coordinates of 41◦00'N (North), 39◦54'N (South), 3◦46'W (West), and 2◦51'W (East). The altitude ranges from 631 to 1008 m a.s.l. The climate in this region is continental Mediterranean, with cold winters and warm dry summers. The annual precipitation ranges from 436 mm in the lowest southern part to 598 mm in the highest northern part, and the mean annual temperature ranges from 13 to 11 ◦C, respectively. This region is part of the Mesomediterranean bioclimatic domain (Rivas-Martínez, 1981). The bedrock is heterogeneous, with chalkstone being dominant and some extents of gypsum, granite, and sandstone.The vegetation in the area is a mosaic of natural, semi-natural, introduced, and crop vegetation resulting from thousands of years of human exploitation. Natural vegetation consists mostly of evergreen forests dominated by holm oak, Quercus rotundifolia. The degradation of these forests has resulted in more open woodland dominated by Q. rotundifolia, Juniperus oxycedrus, or Quercus coccifera, or to shrubland dominated by Cistus ladanifer, Retama sphaerocarpa, camephytes such as Thymus and Lavandula species, and herbs (e.g., Stipa spp.). Large extents of land were reforested with pine species (Pinus halepensis and Pinus pinea) after the 1950s, and the eldest pine plantations are now semi-natural forests (Penuelas and Ocaña, 1996). Following subsidies from the European Union, some cropland areas were planted almost entirely with P. halepensis after 1993. Most afforested abandoned cropland ranges between 3 and 15 years in age at the time we surveyed bird communities. The natural or semi-natural vegetation and pine plantations intermingle with farmland mostly consisting of rain-fed cereals and recently abandoned (<4 years old) cropland under secondary succession.";"Google earth images and ref.";2008;2009;NA;"abundance";"Rey-Benayas, J. M., Galván, I., & Carrascal, L. M. (2010). Differential effects of vegetation restoration in Mediterranean abandoned cropland by secondary succession and pine plantations on bird assemblages. Forest Ecology and Management, 260(1), 87–95. doi:10.1016/j.foreco.2010.04.0";NA;NA;NA
"144";NA;"Predicts_sc1_2011_stouffer_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"The Biological Dynamics of Forest Fragments Project (BDFFP) conducted a long-term study on the species present in forest fragments near Manaus, Brazil (2u 309S, 60uW). The project sampled eleven continuous forest plots starting in 1979, which were later isolated as 1-ha (n=5), 10-ha (n=4), and 100-ha (n=2) fragments in 1980. The site selection and isolation processes are detailed in [29,30]. The fragments are located on three large farms, all of which contain primary forest connected to vast areas of almost unbroken forest, particularly to the north. The fragments are situated 70–800 m away from the continuous forest. Initially, the matrix surrounding the fragments included cattle pasture and areas abandoned after cutting. However, over time, the amount of active pasture has decreased, and more and more area has been abandoned to second growth. As of 2007, all fragments were connected to primary forest by second growth that was at least six years old.";"Google earth images and ref.";2007;2007;NA;"abundance";"Stouffer, P. C., Johnson, E. I., Bierregaard, R. O., & Lovejoy, T. E. (2011). Understory Bird Communities in Amazonian Rainforest Fragments: Species Turnover through 25 Years Post-Isolation in Recovering Landscapes. PLoS ONE, 6(6), e20543. doi:10.1371/journal.pone.00205";NA;NA;NA
"145";NA;"Predicts_sc2_2012_santana_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"Forest stands were selected according to a stratified random procedure (details in Santana et al. 2011). Briefly, random locations were distributed across the study area at >800 m from each other, within forest stands with >30% canopy cover by cork oaks. Stands affected by fire were excluded to avoid confounding the effects of mechanical fuel management and burning. Each random location was classified into one of six strata, corresponding to categories of increasing structural complexity of understorey woody vegetation, which were based on a putative sequence of successional vegetation development (Santana et al. 2011). Structural categories were used instead of actual understorey ages, because management histories could only be assessed a posteriori from enquiries and aerial photographs (see below). At each random location, a homogeneous forest stand representative of the dominant structural stratum was chosen. The procedure was repeated until eight stands in each stratum were selected.";"Google earth images and ref.";2005;2006;NA;"abundance";"Santana, J., Porto, M., Gordinho, L., Reino, L., & Beja, P. (2012). Long‐term responses of Mediterranean birds to forest fuel management. Journal of Applied Ecology, 49(3), 632-643.";NA;NA;NA
"146";NA;"Predicts_se2_2013_brandt_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"We conducted bird point count surveys at six sacred forest sites that ranged in size from 13 to 75 ha (Fig. 1b). We surveyed a total of 62 plots, including 35 within the sacred forests, 9 edge plots (60 m away from the sacred forest boundary), and 18 matrix plots (260 and 520 m from the boundary) (Fig. 1c).";"Google earth images and ref.";2010;2011;NA;"abundance";"Brandt, J. S., Wood, E. M., Pidgeon, A. M., Han, L. X., Fang, Z., & Radeloff, V. C. (2013). Sacred forests are keystone structures for forest bird conservation in southwest China’s Himalayan Mountains. Biological Conservation, 166, 34-42.";NA;NA;NA
"147";NA;"Predicts_se2_2013_hassan_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"Data were collected from October 2010 to January 2011, and each forest was visited for 5consecutive days a month (n = 20 days a month for all 4 forests). Each forest was stratifiedinto forest core (300 m from the edge) and forest edge. Then, permanent transects (n = 8)each 500 m long were randomly established in the core and the edge of each forest (Table1). Selection of sites for placement of transects followed judgment sampling procedure whileensuring that each site was a reasonable representative of the forest in question [14].However, a minimum inter-transect distance of 100 m was maintained. Three plots, eachwith 20 m radius were established along each transect: one at the start, centre and end oftransect, leading to an inter-point distance of approximately 170 m [7]. Position of alltransects (starting and ending points) and the plots were recorded using a hand held GPSunit. Identification of birds in the plots was done with the aid of a pair of binoculars (KitePetrel; 10x42) and field guides [15,16].";"Google earth images and ref.";2010;2011;NA;"presence_absence";"Hassan, S. N., Salum, A. R., Rija, A. A., Modest, R., Kideghesho, J. R., & Malata, P. F. (2013). Human-induced disturbances influence on bird communities of coastal forests in eastern Tanzania.";NA;NA;NA
"148";NA;"Predicts_sh1_2012_ims_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"The study was carried out in the regions of Varanger peninsula and Laksefjord tundra (70–71°N) in northern Norway. In each region we located 10–11 bird census plots in riparian sediment plains in a matched design with 5–6 plots with and without willow thickets, respectively. Habitats with willow thickets (Fig. 1A) had patches of approximately 80–240 cm tall shrubs that formed closed canopies surrounded by meadows with short-statured vegetation of non-woody plants (Henden et al., 2011a). Habitats without thickets either had tall willows (2 plots) so severely thinned by reindeer browsing that they no longer formed closed canopies (Fig. 1B) or (9 plots) only contained scattered small willow ramets that did not exceed in height the non-woody meadow vegetation (Fig. 1C). A recent exclosure experiment has shown that such willow ramets in riparian meadows in this study region are severely suppressed due to intense browsing (Ravolainen et al., 2011). The level of browsing even in the riparian habitats with willow thickets was high enough to cause substantial fragmentation of the willow thickets (Fig. 1A). The different intensities of browsing reindeer between habitats with and without thickets in Laksefjord were due to fencing separating summer (high browsing intensity) from autumn-spring pastures (low browsing intensity). In Varanger the two types of habitats were found in separate valleys subject to different intensities of traditional reindeer habitat use in summer (Vorren, 1962). The 10 plots with willow thickets was a sub-set of a larger sample of plots selected to investigate the effect of willow thicket fragmentation on various taxa (Henden et al., 2011a, Henden et al., 2011b). The subset was made to geographically match plots with and without thickets as much as possible. The maximum distance between plots with and without willow thickets was 5.3 km in Varanger and 3.3 km in Laksefjord. The range of altitudes (above sea-level) of plots with and without thickets was also similar (Varanger: 151–171 m with thickets and 165–184 m without, Laksefjord: 219–299 m with thickets and 233–286 m without).";"Google earth images and ref.";2010;2011;NA;"abundance";"Ims, R. A., & Henden, J. (2012). Collapse of an arctic bird community resulting from ungulate-induced loss of erect shrubs. Biological Conservation, 149(1), 2-5. https://doi.org/10.1016/j.biocon.2012.02.008";NA;"not sure. I do not see different land-use types here. The treatments were with and without willow  thicket both contain willows and the influence is due to reindeer browsing. I would tend to classify it as forestry";NA
"149";NA;"Predicts_tn1_2007_o_dea_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"Three hundred point counts were performed at 150 sites, 75 sites in each of the two study areas, in May and June 2003, the beginning of the dry season. Point count survey sites ranged from 1,100 m to 2,000 m in altitude and were selected without prior knowledge of bird distributions. Due to the extremely rugged terrain and access limitations, sites were located on existing trails (van Rensburg et al. 2000; Hiby and Krishna 2001; Naidoo 2004). The landscape is a mosaic of primary forest, secondary forest, and agricultural land. We stratified sites among these landscape elements, with 50 sites in each.";"Google earth images and ref.";2003;2003;NA;"abundance";"O’Dea, N., & Whittaker, R. J. (2007). How resilient are Andean montane forest bird communities to habitat degradation? Biodivers Conserv16: 1131–1159.";NA;NA;NA
"150";NA;"Predicts_vk1_2007_st_laurent_3";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"This study was conducted in the black spruce (Picea mariana (Mill.) BSP) boreal forest, located north of Lac-Saint-Jean, Quebec (50°09'N, 72°20'W). The mean elevation of the study area is 505 m. The study area has undergone logging, with approximately 30% of the area logged using the cutting with regeneration and soil protection technique. This modified clear-cutting technique requires that harvesting and skidding trails be spaced equally by 15 m. The mature forest stands consist mainly of black spruce, with balsam fir (Abies balsamea (L.) Mill.), white birch (Betula papyrifera Marsh.), jack pine (Pinus banksiana Lamb.), and trembling aspen (Populus tremuloides Michx.) also present, in order of decreasing importance. The shrub stratum is dominated by alders (Alnus spp.), American mountain-ash (Sorbus americana Marsh.), juneberry (Amelanchier spp.), and willows (Salix spp.). The most common ericaceous species in the understory were sheep laurel (Kalmia angustifolia L.), swamp laurel (Kalmia polifolia Wangenh.), bog Labrador.";"Google earth images and ref.";2004;2004;NA;"abundance";"St-Laurent, M. H., Ferron, J., Hins, C., & Gagnon, R. (2007). Effects of stand structure and landscape characteristics on habitat use by birds and small mammals in managed boreal forest of eastern Canada. Canadian Journal of Forest Research, 37(8), 1298-1309.";NA;NA;NA
"151";NA;"Predicts_vk1_2011_edenius_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"agriculture";"forest";"The study was conducted in Toftaholm, located in the hemi-boreal zone in southern Sweden. The area is dominated by Norway spruce forest intermixed with patches of deciduous forest and lakes. The study compared fertilized and unfertilized spruce stands in the same developmental stage distributed over a c. 15 km2 large area at Toftaholm. Four fertilized stands and 12 unfertilized stands were selected for the study, i.e. 16 stands in total. In essence, the investigated stands represent a 21-year chronosequence of young, intensively managed Norway spruce forest.";"Google earth images and ref.";2010;2010;NA;"abundance";"Edenius, L., Mikusiński, G., & Bergh, J. (2011). Can repeated fertilizer applications to young Norway spruce enhance avian diversity in intensively managed forests?. Ambio, 40, 521-527.";NA;NA;NA
"152";NA;"Predicts_vk1_2011_zimmerman_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"agriculture";"forest";"The study site is located approximately 60 km southwest of Thunder Bay, Ontario and consists of white spruce/black spruce plantations along with remnant stands of mature trembling aspen/spruce. The plantations were established on clearcut sites that previously supported trembling aspen-white spruce forests. Four vegetation management treatments were applied in each block, including two separate herbicide treatments and two separate mechanical treatments. An untreated area was retained as a control in each block. Blocks varied from 28 ha to 52 ha and treatment areas varied from 3.3 ha to 11.2 ha, which represents 12% to 27% of the area within a block.";"Google earth images and ref.";2004;2004;NA;"abundance";"Zimmerman, G., Bell, F. W., Woodcock, J., Palmer, A., & Paloniemi, J. (2011). Response of breeding songbirds to vegetation management in conifer plantations established in boreal mixedwoods. The Forestry Chronicle, 87(2), 217-224.";NA;NA;NA
"153";NA;"Predicts_vk1_2012_otto_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"The study was conducted in the Cadillac-Traverse City area in the northwestern Lower Peninsula of Michigan, USA in 2010-2011 on state-owned forest lands that were managed for aspen production. The study area had porous sandy soils and was characterized as a glacial outwash-plain. The forest management practices included green-tree retention prescriptions that called for the retention of 3-10% of canopy trees and snags and coarse woody debris whenever possible. The study landscape was dominated by eastern white and jack pine prior to European settlement, and the forest consisted of mixed oak, eastern white pine, red maple, black cherry, American beech, and aspen, with an understory of aspen, red maple, blackberry, downy serviceberry, witch-hazel, American beech, and hophornbeam.";"Google earth images and ref.";2010;2010;NA;"presence_absence";"Otto, C. R., & Roloff, G. J. (2012). Songbird response to green-tree retention prescriptions in clearcut forests. Forest Ecology and Management, 284, 241-250.";NA;NA;NA
"154";NA;"Predicts_vk1_2012_otto_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"The study was conducted in the Cadillac-Traverse City area in the northwestern Lower Peninsula of Michigan, USA in 2010-2011 on state-owned forest lands that were managed for aspen production. The study area had porous sandy soils and was characterized as a glacial outwash-plain. The forest management practices included green-tree retention prescriptions that called for the retention of 3-10% of canopy trees and snags and coarse woody debris whenever possible. The study landscape was dominated by eastern white and jack pine prior to European settlement, and the forest consisted of mixed oak, eastern white pine, red maple, black cherry, American beech, and aspen, with an understory of aspen, red maple, blackberry, downy serviceberry, witch-hazel, American beech, and hophornbeam.";"Google earth images and ref.";2011;2011;NA;"presence_absence";"Otto, C. R., & Roloff, G. J. (2012). Songbird response to green-tree retention prescriptions in clearcut forests. Forest Ecology and Management, 284, 241-250.";NA;NA;NA
"155";"ta39";"raine_beetles";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"Google Scholar search";"NO";NA;"terrestrial";"insect";"invertebrate";"forestry";NA;"I did not find this dataset in the folder, maybe it was removed long ago?";NA;2011;2011;NA;"presence_absence";NA;"lets ask Mark";NA;NA
"156";"ta40";"ribera_beetles";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"Google Scholar search";"YES";NA;"terrestrial";"insect";"invertebrate";"agriculture";"agriculture";"Sites were chosen to best represent the diversity of the Scottish landscape, following a general gradient from intensive cereal fields to extensive upland grasslands or moorland dominated by heather (Calluna vulgaris), often managed by periodic burning. Land use is strongly associated with several disturbance factors (e.g., removal of biomass by cropping or grazing, and soil disturbance by tillage). A set of measures of vegetation structure commonly related with habitat adversity and stress was obtained (e.g., biomass at different heights), as well as elevation as a measure of climatic harshness. Elevation ranged from 20 (Skerray) to 750 m above sea level (a.s.l.) (Crianlarich, Fig. 1, Table 1). In Scotland, average temperatures decrease more rapidly with elevation than the adiabatic lapse rate (Price 1983). The weather of upland Britain is considered to be of a “maritime periglacial” type (Ballantyne and Harris 1994), characterized by strong winds, high precipitation, and 30–40 freeze–thaw events each year, associated with cyclonic activity.";"Google earth images and ref.";2002;2002;NA;"abundance";"Ribera, I., Dolédec, S., Downie, I. S., & Foster, G. N. (2001). Effect of land disturbance and stress on species traits of ground beetle assemblages. Ecology, 82(4), 1112-1129.";NA;NA;NA
"157";NA;"romero_waterinsects";"NO";"gqromero@gmail.com";"tgoncalves.souza@gmail.com";"yes";"yes";"NA";"Martin suggested";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"forest";"This study was carried out in 12 Brazilian coastal sites along a latitudinal gradient ranging from 12°34′ to 27°37′ S (ca. 2,040 km), with altitudes varying from 3 to 91 m asl. The average distance between neighboring sites was 199 km (max 566.3 km, min 14.7 km; Gonçalves-Souza et al. 2014, 2015). To minimize the influence of environmental heterogeneity (e.g., light incidence, resource availability etc.), we concentrated on open areas called restingas, which are sandy soil communities dominated by cacti, bromeliads, herbs, and small shrubs under high light incidence (Lacerda et al. 1984). Bromeliads at these sites are typically distributed in patches along the margins of shrubby vegetation. We have summarized the climate regimes from each restingas in Appendix S1.Bromeliads in open restingas are inhabited by a diverse community comprising aquatic invertebrates (mostly insect larvae) of several functional groups, including keystone (top) predators (Zygoptera), mesopredators (Corethrellidae, Tanypodinae, Hydrophylidae larvae, Ceratopogonidae), filter feeders (most Culicidae), shredders (Limoniidae, Trichoptera), scrapers (Scirtidae), and collectors (Psychodidae, Chironomidae, Syrphidae, Ceratopogonidae). This fauna also includes small non-insect invertebrates, such as Oligochaeta, Ostracoda (both detritivores), Hirudinea, Turbellaria (predator), and aquatic Acari (multiple trophic levels) (Romero and Srivastava 2010).This study was carried out in 12 Brazilian coastal sites along a latitudinal gradient ranging from 12°34′ to 27°37′ S (ca. 2,040 km), with altitudes varying from 3 to 91 m asl. The average distance between neighboring sites was 199 km (max 566.3 km, min 14.7 km; Gonçalves-Souza et al. 2014, 2015). To minimize the influence of environmental heterogeneity (e.g., light incidence, resource availability etc.), we concentrated on open areas called restingas, which are sandy soil communities dominated by cacti, bromeliads, herbs, and small shrubs under high light incidence (Lacerda et al. 1984). Bromeliads at these sites are typically distributed in patches along the margins of shrubby vegetation. We have summarized the climate regimes from each restingas in Appendix S1.Bromeliads in open restingas are inhabited by a diverse community comprising aquatic invertebrates (mostly insect larvae) of several functional groups, including keystone (top) predators (Zygoptera), mesopredators (Corethrellidae, Tanypodinae, Hydrophylidae larvae, Ceratopogonidae), filter feeders (most Culicidae), shredders (Limoniidae, Trichoptera), scrapers (Scirtidae), and collectors (Psychodidae, Chironomidae, Syrphidae, Ceratopogonidae). This fauna also includes small non-insect invertebrates, such as Oligochaeta, Ostracoda (both detritivores), Hirudinea, Turbellaria (predator), and aquatic Acari (multiple trophic levels) (Romero and Srivastava 2010).";"Google earth images and ref.";2000;2019;NA;"abundance";"Romero, G. Q., Piccoli, G. C., de Omena, P. M., & Gonçalves‐Souza, T. (2016). Food web structure shaped by habitat size and climate across a latitudinal gradient. Ecology, 97(10), 2705-2715.";"They state \"we concentrated on open areas called restingas\". Thus it is not multiple! Restingas count as forests, I guess.";NA;NA
